J       CT       CP       eta
0.131   0.1158   0.0618   0.246
0.168   0.1135   0.0628   0.304
0.197   0.1109   0.0624   0.350
0.231   0.1115   0.0631   0.407
0.264   0.1086   0.0636   0.451
0.298   0.1056   0.0639   0.493
0.329   0.1028   0.0644   0.526
0.362   0.0989   0.0645   0.556
0.393   0.0944   0.0638   0.582
0.430   0.0888   0.0628   0.608
0.458   0.0834   0.0615   0.621
0.492   0.0768   0.0594   0.636
0.523   0.0704   0.0571   0.645
0.555   0.0634   0.0541   0.651
0.590   0.0567   0.0508   0.659
0.621   0.0507   0.0477   0.661
0.654   0.0448   0.0441   0.663
0.688   0.0384   0.0401   0.658
0.721   0.0328   0.0365   0.646
0.753   0.0268   0.0330   0.611
0.792   0.0196   0.0281   0.552
0.822   0.0137   0.0240   0.469
0.855   0.0080   0.0197   0.345
0.890   0.0013   0.0143   0.078
0.922   -0.0051   0.0094   -0.497
0.946   -0.0093   0.0058   -1.515
