J         CT        CP        eta
0.110511  0.123554  0.060117  0.227125
0.131900  0.127982  0.059401  0.284180
0.153820  0.126924  0.059764  0.326678
0.173080  0.126090  0.060162  0.362745
0.191143  0.124147  0.060069  0.395045
0.212063  0.123103  0.060461  0.431779
0.233624  0.122214  0.061054  0.467649
0.253251  0.121030  0.061388  0.499302
0.273980  0.119697  0.061831  0.530395
0.293583  0.118218  0.062140  0.558526
0.314034  0.116586  0.062486  0.585924
0.333477  0.114802  0.062702  0.610569
0.352633  0.113025  0.062926  0.633382
0.374369  0.111440  0.063390  0.658141
0.394104  0.108973  0.063278  0.678697
0.416301  0.107422  0.063686  0.702193
0.435989  0.104840  0.063506  0.719765
0.456808  0.102264  0.063399  0.736843
0.476225  0.099476  0.063064  0.751189
0.497573  0.097033  0.062917  0.767375
0.516801  0.094017  0.062427  0.778323
0.537369  0.091144  0.062015  0.789776
0.557072  0.088144  0.061452  0.799034
0.576146  0.084935  0.060742  0.805625
0.596572  0.081983  0.060198  0.812462
0.614837  0.078127  0.058936  0.815035
0.633865  0.073886  0.057394  0.816009
0.654068  0.069764  0.055727  0.818826
0.670610  0.064495  0.053180  0.813295
0.691440  0.059240  0.050597  0.809549
0.711657  0.053860  0.047755  0.802630
0.732340  0.047741  0.044349  0.788366
0.752643  0.042355  0.041148  0.774717
0.770056  0.038133  0.038662  0.759509
0.794401  0.033048  0.035580  0.737880
