J         CT        CP        eta
0.101827  0.123033  0.051445  0.243519
0.115005  0.122781  0.051828  0.272445
0.132836  0.121634  0.052015  0.310628
0.146254  0.121116  0.052360  0.338304
0.164940  0.119271  0.052437  0.375156
0.179363  0.119466  0.053198  0.402783
0.197225  0.117979  0.053473  0.435138
0.212868  0.116924  0.053801  0.462619
0.228775  0.115834  0.054120  0.489644
0.243637  0.115007  0.054553  0.513626
0.260353  0.113608  0.054808  0.539660
0.275670  0.112164  0.055043  0.561744
0.292928  0.111087  0.055489  0.586430
0.309273  0.110200  0.056046  0.608106
0.325303  0.108174  0.056116  0.627084
0.340406  0.106802  0.056398  0.644628
0.356911  0.105489  0.056720  0.663793
0.374116  0.103936  0.056984  0.682370
0.388923  0.102200  0.057002  0.697302
0.405438  0.100574  0.057166  0.713302
0.422799  0.098821  0.057277  0.729454
0.436154  0.096660  0.056895  0.740983
0.451559  0.094462  0.056696  0.752355
0.468453  0.092573  0.056654  0.765463
0.483616  0.090363  0.056330  0.775803
0.498995  0.088421  0.056179  0.785374
0.515467  0.086027  0.055809  0.794582
0.530160  0.083771  0.055407  0.801555
0.545515  0.081383  0.054935  0.808135
0.560100  0.078555  0.054135  0.812748
0.575887  0.075707  0.053412  0.816263
0.591936  0.072680  0.052441  0.820380
0.607893  0.068494  0.050799  0.819655
0.624602  0.064614  0.049202  0.820259
