J         CT        CP        eta
0.128024  0.114940  0.048042  0.306304
0.155751  0.114063  0.048795  0.364081
0.183076  0.112483  0.049305  0.417663
0.214382  0.111226  0.050111  0.475845
0.240524  0.108446  0.050227  0.519322
0.268454  0.106973  0.050988  0.563229
0.297705  0.104703  0.051472  0.605592
0.325661  0.101813  0.051655  0.641882
0.354444  0.099081  0.051908  0.676566
0.381713  0.095483  0.051857  0.702843
0.410845  0.091738  0.051669  0.729460
0.438198  0.087554  0.051296  0.747934
0.464318  0.081907  0.049958  0.761256
0.492980  0.076105  0.048626  0.771576
0.519499  0.069221  0.046216  0.778095
0.544639  0.062052  0.043341  0.779775
0.572460  0.055391  0.040480  0.783337
0.601474  0.048862  0.037491  0.783904
0.625578  0.043533  0.034837  0.781744
0.654204  0.037149  0.031452  0.772700
0.683193  0.031588  0.028499  0.757234
0.709287  0.026376  0.025671  0.728757
0.738130  0.020823  0.022644  0.678757
0.762846  0.015440  0.019496  0.604156
0.794399  0.009845  0.016306  0.479621
0.819926  0.004914  0.013423  0.300117
0.847785 -0.000830  0.009916 -0.070997
0.874552 -0.006957  0.006186 -0.983614
0.872875 -0.006867  0.006203 -0.966357
