J         CT        CP        eta
0.101122  0.120075  0.049645  0.244578
0.120673  0.119258  0.050038  0.287605
0.136269  0.118794  0.050431  0.320988
0.156838  0.117325  0.050711  0.362859
0.176054  0.116740  0.051379  0.400014
0.196545  0.115314  0.051786  0.437646
0.211050  0.114097  0.051941  0.463603
0.232988  0.113257  0.052712  0.500592
0.250540  0.111083  0.052677  0.528325
0.268935  0.110117  0.053244  0.556194
0.287164  0.109247  0.053877  0.582281
0.307359  0.107377  0.054145  0.609532
0.325219  0.105879  0.054433  0.632587
0.344581  0.103918  0.054584  0.656010
0.363564  0.102329  0.054876  0.677943
0.382498  0.100262  0.054960  0.697775
0.401084  0.098682  0.055223  0.716726
0.420085  0.095548  0.054801  0.732432
0.438370  0.093282  0.054653  0.748205
0.457027  0.090688  0.054487  0.760671
0.475074  0.087818  0.054015  0.772367
0.494522  0.085699  0.054053  0.784046
0.514139  0.082674  0.053526  0.794128
0.531227  0.079446  0.052735  0.800296
0.548301  0.075742  0.051614  0.804616
0.565742  0.071832  0.050318  0.807626
0.582304  0.068425  0.049137  0.810882
0.599471  0.064331  0.047549  0.811063
0.617033  0.058827  0.045050  0.805733
0.635082  0.054618  0.043074  0.805293
0.656428  0.049282  0.040476  0.799229
0.672526  0.044821  0.038125  0.790641
0.695129  0.039209  0.035166  0.775050
0.711843  0.035698  0.033288  0.763382
0.729845  0.031210  0.030739  0.741007
