J         CT        CP        eta
0.102436  0.094431  0.032619  0.296545
0.122934  0.093036  0.032925  0.347372
0.146741  0.091090  0.033299  0.401410
0.170110  0.088836  0.033613  0.449580
0.190312  0.086632  0.033797  0.487832
0.214892  0.084216  0.034155  0.529862
0.237811  0.080789  0.034065  0.564002
0.259952  0.076922  0.033750  0.592469
0.281880  0.071540  0.032787  0.615044
0.304366  0.066535  0.031765  0.637535
0.325791  0.060375  0.030164  0.652095
0.347195  0.055452  0.028857  0.667181
0.368414  0.050765  0.027520  0.679592
0.390952  0.045550  0.025874  0.688259
0.413674  0.041234  0.024493  0.696427
0.436133  0.036456  0.022827  0.696522
0.458035  0.032347  0.021254  0.697104
0.479892  0.028018  0.019583  0.686618
0.502341  0.023856  0.017895  0.669667
0.523191  0.019233  0.016089  0.625429
0.547375  0.014588  0.014299  0.558408
0.567919  0.009995  0.012361  0.459190
0.591074  0.005141  0.010258  0.296228
0.611756  0.000744  0.008334  0.054633
0.635581 -0.004034  0.006154 -0.416638
0.634943 -0.004038  0.006138 -0.417691
