J         CT        CP        eta
0.102150  0.095687  0.033213  0.294300
0.120613  0.094466  0.033505  0.340065
0.140110  0.093159  0.033835  0.385772
0.157915  0.091678  0.034066  0.424982
0.176687  0.090462  0.034481  0.463552
0.196366  0.088305  0.034619  0.500883
0.215115  0.086119  0.034738  0.533291
0.233209  0.083944  0.034812  0.562345
0.251195  0.081563  0.034817  0.588457
0.271050  0.078477  0.034616  0.614483
0.289113  0.075252  0.034255  0.635133
0.307926  0.071310  0.033604  0.653451
0.327092  0.067221  0.032817  0.669999
0.344773  0.062741  0.031708  0.682214
0.363227  0.057867  0.030358  0.692369
0.381557  0.053674  0.028839  0.710124
0.398551  0.048895  0.027336  0.712878
0.417045  0.044903  0.026080  0.718048
0.435355  0.040491  0.024598  0.716647
0.452355  0.036456  0.023238  0.709658
0.471967  0.031984  0.021679  0.696321
0.490902  0.028010  0.020240  0.679360
0.510706  0.024066  0.018756  0.655280
0.528353  0.020620  0.017150  0.635267
0.548716  0.016376  0.015437  0.582086
0.566627  0.012567  0.013635  0.522241
0.585260  0.008526  0.011832  0.421734
0.603341  0.004570  0.009959  0.276869
0.622182  0.000540  0.008006  0.041939
0.639245 -0.003084  0.006141 -0.321057
0.638879 -0.003037  0.006150 -0.315521
