J       CT       CP       eta
0.107   0.1145   0.0559   0.219
0.133   0.1136   0.0562   0.269
0.158   0.1123   0.0565   0.315
0.184   0.1107   0.0566   0.360
0.210   0.1092   0.0572   0.400
0.239   0.1065   0.0575   0.442
0.264   0.1039   0.0576   0.476
0.292   0.1017   0.0582   0.511
0.319   0.0986   0.0583   0.540
0.345   0.0949   0.0578   0.566
0.371   0.0911   0.0574   0.589
0.393   0.0883   0.0572   0.607
0.419   0.0837   0.0562   0.624
0.444   0.0793   0.0552   0.638
0.470   0.0738   0.0535   0.648
0.495   0.0687   0.0516   0.659
0.523   0.0624   0.0490   0.666
0.528   0.0609   0.0484   0.665
0.548   0.0569   0.0466   0.668
0.580   0.0502   0.0434   0.671
0.605   0.0455   0.0410   0.672
0.628   0.0407   0.0384   0.665
0.653   0.0361   0.0359   0.657
0.685   0.0302   0.0325   0.637
0.712   0.0252   0.0295   0.609
0.736   0.0211   0.0269   0.576
0.764   0.0157   0.0236   0.509
0.789   0.0111   0.0206   0.427
0.817   0.0059   0.0169   0.284
0.842   0.0012   0.0135   0.076
0.870   -0.0040   0.0098   -0.355
0.895   -0.0083   0.0061   -1.212
