J         CT        CP        eta
0.092944  0.109400  0.043498  0.233763
0.108202  0.108914  0.043944  0.268165
0.132718  0.107311  0.044448  0.320424
0.148690  0.105114  0.044199  0.353611
0.172130  0.103524  0.044575  0.399759
0.195528  0.100960  0.044517  0.443433
0.214474  0.099007  0.044565  0.476476
0.234095  0.096844  0.044626  0.508021
0.252075  0.094114  0.044331  0.535154
0.273090  0.091492  0.044213  0.565113
0.294854  0.089188  0.044274  0.593970
0.315047  0.086028  0.043819  0.618516
0.334893  0.083217  0.043519  0.640385
0.354266  0.080020  0.043010  0.659101
0.373974  0.076985  0.042472  0.677870
0.395602  0.073844  0.041925  0.696786
0.415543  0.070357  0.041063  0.711984
0.436008  0.067484  0.040448  0.727440
0.455200  0.063687  0.039313  0.737427
0.475368  0.060588  0.038516  0.747778
0.494677  0.056821  0.037256  0.754448
0.512492  0.053054  0.035880  0.757794
0.533013  0.049223  0.034533  0.759749
0.552145  0.045514  0.033087  0.759514
0.572936  0.041199  0.031319  0.753668
0.593997  0.037275  0.029656  0.746585
0.613076  0.033609  0.028050  0.734566
0.633126  0.029164  0.025876  0.713557
0.653027  0.025566  0.023967  0.696581
0.672936  0.021127  0.021743  0.653839
0.694099  0.016418  0.019353  0.588803
0.712486  0.011995  0.016921  0.505085
0.733089  0.006806  0.013955  0.357525
0.755145  0.001769  0.011243  0.118816
0.775251 -0.003589  0.008191 -0.339682
0.775208 -0.003563  0.008202 -0.336772
