J         CT        CP        eta
0.112967  0.105403  0.042790  0.278263
0.135807  0.103992  0.043192  0.326976
0.158695  0.101667  0.043257  0.372981
0.184663  0.098373  0.043083  0.421643
0.208245  0.096275  0.043337  0.462627
0.233060  0.093281  0.043267  0.502463
0.258171  0.089593  0.042907  0.539079
0.281777  0.086083  0.042496  0.570781
0.307220  0.083539  0.042463  0.604412
0.330432  0.079933  0.041818  0.631598
0.354774  0.076808  0.041447  0.657459
0.379455  0.073031  0.040653  0.681678
0.403159  0.069327  0.039794  0.702359
0.426796  0.065687  0.038915  0.720406
0.450204  0.061735  0.037766  0.735922
0.473314  0.057843  0.036562  0.748822
0.496617  0.053801  0.035324  0.756382
0.520245  0.049381  0.033739  0.761442
0.544683  0.044608  0.031861  0.762599
0.568352  0.039802  0.029885  0.756946
0.592162  0.034571  0.027603  0.741636
0.615547  0.029982  0.025540  0.722600
0.639387  0.024356  0.022797  0.683109
0.662562  0.018730  0.019920  0.622973
0.688816  0.012414  0.016665  0.513088
0.710516  0.007017  0.013729  0.363148
0.735563  0.000403  0.010078  0.029439
0.760259 -0.005773  0.006672 -0.657864
0.761983 -0.005874  0.006652 -0.672820
