J         CT        CP        eta
0.124520  0.114530  0.049504  0.288086
0.147496  0.114534  0.050034  0.337635
0.168445  0.113509  0.050207  0.380823
0.191239  0.112474  0.050448  0.426363
0.212780  0.110922  0.050535  0.467040
0.234830  0.110172  0.051167  0.505632
0.257332  0.108664  0.051558  0.542354
0.278197  0.105172  0.051613  0.566890
0.300836  0.101899  0.051799  0.591809
0.321282  0.098249  0.051800  0.609371
0.344120  0.095773  0.051917  0.634808
0.366715  0.091928  0.051575  0.653640
0.388824  0.088849  0.051369  0.672514
0.411364  0.085512  0.050906  0.691008
0.433404  0.082235  0.050424  0.706824
0.454747  0.078433  0.049521  0.720236
0.478562  0.075255  0.048998  0.735011
0.498894  0.071274  0.047731  0.744971
0.520789  0.068293  0.046978  0.757080
0.543079  0.064887  0.046038  0.765420
0.562339  0.060791  0.044514  0.767966
0.584829  0.057140  0.043216  0.773255
0.602686  0.053366  0.041606  0.773037
0.627153  0.049372  0.040078  0.772593
0.647912  0.045440  0.038391  0.766874
0.667569  0.041741  0.036536  0.762661
0.691891  0.037207  0.034303  0.750463
0.713849  0.033324  0.032390  0.734435
0.732707  0.029462  0.030287  0.712755
0.756501  0.025188  0.027967  0.681309
0.776181  0.021166  0.025741  0.638228
0.799059  0.016233  0.022883  0.566842
0.821800  0.011521  0.020193  0.468881
0.843190  0.006408  0.017086  0.316249
0.864406  0.001231  0.013885  0.076630
