 ,Area,Angle,Length
1,0.002,90,0.998
2,0.002,90,0.998
3,0.002,90,0.997
4,0.002,90,0.981
5,0.001,90,0.800
6,0.001,90,0.668
7,9.700E-4,90,0.610
8,9.045E-4,90,0.568
9,8.592E-4,90,0.540
