 ,Area,Angle,Length
1,0.013,90,4.155
2,0.013,90,4.229
3,0.014,90,4.283
4,0.014,90,4.352
5,0.014,90,4.406
6,0.015,90,4.465
7,0.015,90,4.549
8,0.015,90,4.609
