 ,Area,Angle,Length
1,0.002,90,0.998
2,0.002,90,1.000
3,0.002,90,1.002
4,0.002,90,0.983
5,0.001,90,0.863
6,0.001,90,0.744
7,0.001,90,0.673
8,0.001,90,0.630
9,9.473E-4,90,0.595
