 ,Area,Angle,Length
1,0.002,90,0.997
2,0.002,90,1.000
3,0.002,90,1.000
4,0.002,90,0.984
5,0.001,90,0.843
6,0.001,90,0.702
7,0.001,90,0.643
8,9.599E-4,90,0.603
9,9.020E-4,90,0.567
