J         CT        CP        eta
0.113278  0.115180  0.045079  0.289429
0.134094  0.113900  0.045484  0.335797
0.158256  0.112145  0.045839  0.387167
0.184256  0.110267  0.046406  0.437819
0.207148  0.108681  0.046827  0.480773
0.233264  0.105913  0.047001  0.525646
0.256667  0.104298  0.047585  0.562575
0.280781  0.101601  0.047653  0.598659
0.305668  0.099300  0.048108  0.630924
0.330340  0.096046  0.048220  0.657979
0.355113  0.092000  0.047912  0.681890
0.379045  0.087692  0.047379  0.701561
0.402066  0.082258  0.046196  0.715933
0.427281  0.076668  0.044983  0.728254
0.448984  0.070012  0.042752  0.735258
0.473468  0.064109  0.040689  0.745989
0.496335  0.058156  0.038452  0.750663
0.519734  0.052688  0.036241  0.755579
0.544502  0.047508  0.034053  0.759640
0.566302  0.042566  0.031827  0.757361
0.591452  0.037353  0.029442  0.750369
0.616815  0.032268  0.027142  0.733279
0.641592  0.026863  0.024607  0.700393
0.663174  0.022440  0.022492  0.661607
0.686966  0.017586  0.020128  0.600183
0.711639  0.012420  0.017458  0.506259
0.733768  0.007584  0.014789  0.376286
0.759869  0.002428  0.011904  0.154932
0.784425 -0.002979  0.008716 -0.268122
0.783221 -0.003031  0.008654 -0.274324
