J         CT        CP        eta
0.112875  0.124811  0.049254  0.286032
0.131820  0.124400  0.049958  0.328246
0.152269  0.123387  0.050499  0.372051
0.171821  0.121770  0.050770  0.412113
0.193446  0.120237  0.051148  0.454748
0.212203  0.118625  0.051436  0.489397
0.232210  0.116741  0.051688  0.524466
0.253004  0.115655  0.052273  0.559777
0.274648  0.113355  0.052469  0.593367
0.295023  0.111026  0.052512  0.623771
0.314461  0.108675  0.052566  0.650122
0.333936  0.106272  0.052590  0.674815
0.354004  0.103631  0.052578  0.697740
0.375758  0.101344  0.052833  0.720783
0.395098  0.097832  0.052353  0.738325
0.415086  0.093814  0.051965  0.749375
0.435212  0.090029  0.051371  0.762727
0.454653  0.085678  0.050428  0.772457
0.474602  0.080257  0.048941  0.778283
0.493073  0.074640  0.047084  0.781645
0.511957  0.069299  0.045257  0.783918
0.531172  0.063927  0.043217  0.785710
0.553410  0.056769  0.040260  0.780332
0.570973  0.051732  0.038054  0.776190
0.593287  0.045779  0.035342  0.768481
0.613703  0.040500  0.032861  0.756364
0.632422  0.036504  0.031090  0.742554
0.651528  0.031834  0.028867  0.718493
0.674741  0.026538  0.026268  0.681673
0.693022  0.021903  0.023828  0.637018
0.711550  0.017790  0.021524  0.588127
0.733847  0.012090  0.018443  0.481061
0.752430  0.007563  0.015857  0.358891
0.771017  0.003409  0.013225  0.198772
0.792405 -0.001745  0.010104 -0.136844
