J         CT        CP        eta
0.113166  0.113339  0.044546  0.287926
0.140821  0.111497  0.044991  0.348985
0.174025  0.109573  0.045732  0.416962
0.204666  0.106913  0.046135  0.474287
0.235684  0.104215  0.046707  0.525878
0.264614  0.100898  0.046956  0.568600
0.294921  0.097939  0.047465  0.608544
0.325659  0.092995  0.047232  0.641192
0.356889  0.087181  0.046634  0.667205
0.383884  0.079458  0.044740  0.681782
0.410477  0.072236  0.042515  0.697434
0.439632  0.065219  0.040155  0.714046
0.469979  0.058180  0.037513  0.728904
0.499957  0.052142  0.035168  0.741263
0.532015  0.045285  0.032244  0.747196
0.559182  0.039811  0.029801  0.747028
0.589384  0.033998  0.027087  0.739738
0.591085  0.033894  0.027089  0.739588
0.618285  0.028149  0.024381  0.713856
0.651900  0.021867  0.021537  0.661909
0.680974  0.016637  0.019149  0.591678
0.710345  0.010839  0.016264  0.473417
0.740429  0.004856  0.013170  0.273062
0.770116 -0.001683  0.009479 -0.136718
0.772750 -0.001615  0.009592 -0.130085
