J         CT        CP        eta
0.111033  0.093305  0.031728  0.326520
0.125391  0.092150  0.031940  0.361755
0.139988  0.090862  0.032129  0.395893
0.162224  0.089342  0.032559  0.445142
0.181818  0.087312  0.032806  0.483902
0.197378  0.085901  0.033029  0.513337
0.214888  0.083903  0.033136  0.544121
0.232524  0.081569  0.033181  0.571609
0.250516  0.079287  0.033214  0.598022
0.266970  0.075992  0.032819  0.618174
0.284421  0.073049  0.032492  0.639438
0.301351  0.069333  0.031884  0.655299
0.318902  0.066182  0.031355  0.673116
0.335613  0.062181  0.030400  0.686481
0.350282  0.058672  0.029534  0.695866
0.367670  0.054562  0.028415  0.706001
0.385405  0.050437  0.027243  0.713520
0.403608  0.046249  0.025957  0.719134
0.420496  0.042168  0.024652  0.719268
0.438207  0.038050  0.023322  0.714919
0.455837  0.033937  0.021947  0.704849
0.472980  0.030231  0.020639  0.692778
0.492191  0.026470  0.018999  0.685724
0.504629  0.023959  0.018018  0.670996
0.523562  0.019936  0.016434  0.635118
0.543274  0.015928  0.014759  0.586284
0.560355  0.012149  0.013067  0.520964
0.577140  0.008623  0.011231  0.443135
0.594034  0.004995  0.009515  0.311822
0.609775  0.001437  0.007810  0.112222
0.609748  0.001466  0.007824  0.114251
